


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

    1 0.4588E+00 0.4530E+00
    2 0.3357E+00 0.3308E+00
    3 0.2479E+00 0.2438E+00
    4 0.1798E+00 0.1765E+00
    5 0.1784E+00 0.1728E+00
    6 0.2120E+00 0.2039E+00
    7 0.2326E+00 0.2220E+00
    8 0.2347E+00 0.2221E+00
    9 0.2170E+00 0.2032E+00
   10 0.1841E+00 0.1703E+00
   11 0.1439E+00 0.1312E+00
   12 0.1758E+00 0.1546E+00
   13 0.2063E+00 0.1779E+00
   14 0.2232E+00 0.1876E+00
   15 0.2214E+00 0.1801E+00
   16 0.2009E+00 0.1568E+00
   17 0.1672E+00 0.1241E+00
   18 0.1439E+00 0.1057E+00
   19 0.1791E+00 0.1238E+00
   20 0.2057E+00 0.1314E+00
   21 0.2175E+00 0.1251E+00
   22 0.2107E+00 0.1064E+00
   23 0.1866E+00 0.8083E-01
   24 0.1518E+00 0.5520E-01
   25 0.1493E+00 0.4401E-01
   26 0.1817E+00 0.4003E-01
   27 0.2041E+00 0.3114E-01
   28 0.2108E+00 0.3132E-01
   29 0.1992E+00 0.2999E-01
   30 0.1723E+00 0.2629E-01
   31 0.1370E+00 0.2119E-01
   32 0.1539E+00 0.2398E-01
   33 0.1832E+00 0.2889E-01
   34 0.2012E+00 0.3211E-01
   35 0.2029E+00 0.3278E-01
   36 0.1871E+00 0.3060E-01
   37 0.1580E+00 0.2618E-01
   38 0.1248E+00 0.2085E-01
   39 0.1576E+00 0.2663E-01
   40 0.1836E+00 0.3137E-01
   41 0.1971E+00 0.3406E-01
   42 0.1939E+00 0.3391E-01
   43 0.1745E+00 0.3088E-01
   44 0.1440E+00 0.2579E-01
   45 0.1300E+00 0.2346E-01
   46 0.1605E+00 0.2928E-01
   47 0.1829E+00 0.3372E-01
   48 0.1918E+00 0.3575E-01
   49 0.1841E+00 0.3470E-01
   50 0.1617E+00 0.3083E-01
   51 0.1304E+00 0.2516E-01
   52 0.1346E+00 0.2613E-01
   53 0.1625E+00 0.3188E-01
   54 0.1811E+00 0.3589E-01
   55 0.1854E+00 0.3713E-01
   56 0.1736E+00 0.3515E-01
   57 0.1488E+00 0.3047E-01
   58 0.1174E+00 0.2430E-01
   59 0.1385E+00 0.2884E-01
   60 0.1635E+00 0.3440E-01
   61 0.1781E+00 0.3783E-01
   62 0.1779E+00 0.3819E-01
   63 0.1626E+00 0.3525E-01
   64 0.1361E+00 0.2983E-01
   65 0.1130E+00 0.2494E-01
   66 0.1416E+00 0.3154E-01
   67 0.1636E+00 0.3678E-01
   68 0.1740E+00 0.3951E-01
   69 0.1696E+00 0.3889E-01
   70 0.1512E+00 0.3502E-01
   71 0.1237E+00 0.2895E-01
   72 0.1175E+00 0.2768E-01
