


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

    1 0.4575E+00 0.4503E+00
    2 0.3334E+00 0.3270E+00
    3 0.2453E+00 0.2397E+00
    4 0.1773E+00 0.1725E+00
    5 0.1742E+00 0.1650E+00
    6 0.2062E+00 0.1925E+00
    7 0.2255E+00 0.2074E+00
    8 0.2271E+00 0.2053E+00
    9 0.2097E+00 0.1857E+00
   10 0.1778E+00 0.1535E+00
   11 0.1389E+00 0.1165E+00
   12 0.1648E+00 0.1268E+00
   13 0.1933E+00 0.1424E+00
   14 0.2091E+00 0.1458E+00
   15 0.2078E+00 0.1348E+00
   16 0.1890E+00 0.1121E+00
   17 0.1577E+00 0.8397E-01
   18 0.1295E+00 0.5697E-01
   19 0.1615E+00 0.5752E-01
   20 0.1859E+00 0.5299E-01
   21 0.1973E+00 0.4238E-01
   22 0.1921E+00 0.3430E-01
   23 0.1711E+00 0.3129E-01
   24 0.1400E+00 0.2621E-01
   25 0.1289E+00 0.2448E-01
   26 0.1577E+00 0.3056E-01
   27 0.1782E+00 0.3525E-01
   28 0.1853E+00 0.3745E-01
   29 0.1767E+00 0.3646E-01
   30 0.1542E+00 0.3251E-01
   31 0.1237E+00 0.2665E-01
   32 0.1278E+00 0.2788E-01
   33 0.1534E+00 0.3410E-01
   34 0.1700E+00 0.3853E-01
   35 0.1732E+00 0.4004E-01
   36 0.1617E+00 0.3810E-01
   37 0.1382E+00 0.3322E-01
   38 0.1087E+00 0.2667E-01
   39 0.1262E+00 0.3129E-01
   40 0.1486E+00 0.3750E-01
   41 0.1614E+00 0.4149E-01
   42 0.1611E+00 0.4216E-01
   43 0.1471E+00 0.3922E-01
   44 0.1232E+00 0.3346E-01
   45 0.9912E-01 0.2726E-01
   46 0.1241E+00 0.3468E-01
   47 0.1433E+00 0.4072E-01
   48 0.1526E+00 0.4410E-01
   49 0.1490E+00 0.4382E-01
   50 0.1332E+00 0.3985E-01
   51 0.1092E+00 0.3327E-01
   52 0.9908E-01 0.3051E-01
   53 0.1215E+00 0.3801E-01
   54 0.1376E+00 0.4373E-01
   55 0.1435E+00 0.4634E-01
   56 0.1371E+00 0.4500E-01
   57 0.1199E+00 0.4001E-01
   58 0.9632E-01 0.3269E-01
   59 0.9865E-01 0.3382E-01
   60 0.1186E+00 0.4127E-01
   61 0.1316E+00 0.4650E-01
   62 0.1343E+00 0.4818E-01
   63 0.1255E+00 0.4571E-01
   64 0.1073E+00 0.3973E-01
   65 0.8444E-01 0.3178E-01
   66 0.9787E-01 0.3717E-01
   67 0.1153E+00 0.4442E-01
   68 0.1253E+00 0.4899E-01
   69 0.1250E+00 0.4961E-01
   70 0.1141E+00 0.4597E-01
   71 0.9548E-01 0.3906E-01
   72 0.7734E-01 0.3197E-01
